id_factura,id_cliente,periodo,id_plan,monto,fecha_vencimiento,fecha_pago,medio_pago
F516368,C4740,2024-11,P02,30631.63,2024-12-10,2024-12-10,Débito automático
F527145,C2781,2025-02,P01,24020.53,2025-03-10,2025-03-10,Transferencia
F513077,C1351,2024-11,P01,21240.14,2024-12-10,19/12/2024,Débito automático
F542785,C1560,2025-06,P03,51914.96,2025-07-10,,
F566247,C4506,2025-11,P02,37821.38,2025-12-10,2025-12-10,Débito automático
F575672,C5742,2026-01,P01,31164.77,2026-02-10,,
F523723,C3626,2025-01,P01,24301.6,2025-02-10,2025-02-10,Débito automático
F582941,C4446,2026-03,P01,30538.04,2026-04-10,2026-04-10,Mercado Pago
F508559,C1071,2024-10,P01,22394.22,2024-11-10,,
F569409,C3279,2025-12,P04,78911.27,2026-01-10,2026-01-10,Débito automático
F517614,C1656,2024-12,P03,44990.64,2025-01-10,2025-01-10,Tarjeta
F599700,C4852,2026-07,P02,45287.13,2026-08-10,,
F506272,C3042,2024-09,P05,71760.21,2024-10-10,2024-10-23,Débito automático
F566908,C5291,2025-11,P03,54887.67,2025-12-10,,
F514953,C3286,2024-11,P01,22358.04,2024-12-10,10/12/2024,Débito automático
F541852,C5155,2025-05,P05,93330.13,2025-06-10,2025-06-10,Mercado Pago
F558595,C5327,2025-09,P06,121565.65,2025-10-10,2025-10-10,Mercado Pago
F589065,C1750,2026-05,P01,34500.56,2026-06-10,,
F524448,C4401,2025-01,P01,24206.04,2025-02-10,,
F568258,C1938,2025-12,P06,133959.12,2026-01-10,2026-01-10,Débito automático
F546039,C5215,2025-06,P03,50832.16,2025-07-10,2025-07-12,Efectivo / Sucursal
F598613,C3431,2026-07,P06,144393.47,2026-08-10,2026-08-16,Mercado Pago
F511178,C3739,2024-10,P01,21861.83,2024-11-10,,
F585669,C2680,2026-04,P01,32753.38,2026-05-10,2026-05-10,Mercado Pago
F512068,C4646,2024-10,P02,29560.04,2024-11-10,2024-11-10,Efectivo / Sucursal
F595443,C4627,2026-06,P03,63738.49,2026-07-10,,
F554455,C5356,2025-08,P01,28609.58,2025-09-10,10/09/2025,Efectivo / Sucursal
F600335,C5681,2026-07,P02,46282.39,2026-08-10,2026-08-10,Débito automático
F541318,C4565,2025-05,P01,26306.95,2025-06-10,2025-06-10,Débito automático
F556735,C3160,2025-09,P02,39249.08,2025-10-10,2025-10-10,Efectivo / Sucursal
F513757,C2048,2024-11,P03,42395.11,2024-12-10,,
F569144,C2966,2025-12,P06,133186.72,2026-01-10,10/01/2026,Transferencia
F546456,C1011,2025-07,P01,25615.42,2025-08-10,10/08/2025,Tarjeta
F585147,C2043,2026-04,P02,45932.62,2026-05-10,13/05/2026,Débito automático
F521218,C5405,2024-12,P02,32400.9,2025-01-10,10/01/2025,Débito automático
F542164,C5507,2025-05,P02,35456.64,2025-06-10,2025-06-10,Débito automático
F565090,C3136,2025-11,P02,38362.74,2025-12-10,,
F529574,C5372,2025-02,P01,24365.72,2025-03-10,18/03/2025,Transferencia
F588771,C1392,2026-05,P04,91094.64,2026-06-10,2026-06-10,Transferencia
F563427,C1216,2025-11,P04,77430.53,2025-12-10,10/12/2025,Tarjeta
F521744,C1547,2025-01,P01,24591.43,2025-02-10,10/02/2025,Mercado Pago
F544572,C3556,2025-06,P05,89960.65,2025-07-10,,
F524456,C4409,2025-01,P04,66048.32,2025-02-10,2025-02-10,Transferencia
F545131,C4199,2025-06,P02,35605.77,2025-07-10,2025-07-26,Transferencia
F581478,C2657,2026-03,P01,30199.16,2026-04-10,2026-04-10,Débito automático
F508182,C4975,2024-09,P01,22707.82,2024-10-10,2024-10-10,Transferencia
F536350,C3637,2025-04,P05,89689.25,2025-05-10,,
F593808,C2535,2026-06,P04,88817.68,2026-07-10,2026-07-10,Mercado Pago
F566649,C4973,2025-11,P05,94100.55,2025-12-10,2025-12-10,Débito automático
F582928,C4431,2026-03,P04,80887.47,2026-04-10,2026-04-10,Débito automático
F548392,C3172,2025-07,P01,26583.9,2025-08-10,2025-08-10,Débito automático
F541057,C4273,2025-05,P01,26629.45,2025-06-10,2025-06-10,Débito automático
F552676,C3293,2025-08,P05,94556.71,2025-09-10,,
F540606,C3753,2025-05,P02,37264.66,2025-06-10,2025-06-10,Efectivo / Sucursal
F500148,C1148,2024-08,P05,74109.02,2024-09-10,2024-09-10,Tarjeta
F566146,C4388,2025-11,P02,37822.49,2025-12-10,2025-12-10,Transferencia
F510642,C3191,2024-10,P01,21395.72,2024-11-10,20/11/2024,Débito automático
F535371,C2566,2025-04,P04,68986.13,2025-05-10,2025-05-10,Mercado Pago
F543961,C2872,2025-06,P01,26370.66,2025-07-10,2025-07-15,Transferencia
F585564,C2559,2026-04,P02,45629.99,2026-05-10,11/05/2026,Débito automático
F527816,C3499,2025-02,P02,32624.48,2025-03-10,2025-03-10,Débito automático
F518622,C2707,2024-12,P02,33134.78,2025-01-10,2025-01-11,Mercado Pago
F538297,C1201,2025-05,P06,112013.5,2025-06-10,21/06/2025,Transferencia
F577732,C3188,2026-02,P02,43286.89,2026-03-10,2026-03-10,Transferencia
F562028,C4452,2025-10,P03,53167.42,2025-11-10,10/11/2025,Transferencia
F502301,C3301,2024-08,P06,94933.04,2024-09-10,,
F542248,C5592,2025-05,P02,35992.36,2025-06-10,2025-06-16,Débito automático
F542995,C1793,2025-06,P02,36431.44,2025-07-10,2025-07-10,Transferencia
F571198,C5422,2025-12,P01,30235.44,2026-01-10,,
F504674,C1434,2024-09,P06,95891.23,2024-10-10,2024-10-15,Mercado Pago
F587537,C5013,2026-04,P01,32540.77,2026-05-10,14/05/2026,Mercado Pago
F587316,C4740,2026-04,P02,45165.44,2026-05-10,2026-05-21,Transferencia
F554164,C5014,2025-08,P04,74471.12,2025-09-10,2025-09-10,Débito automático
F595054,C4117,2026-06,P02,46392.5,2026-07-10,2026-07-25,Débito automático
F600507,C5878,2026-07,P01,33364.02,2026-08-10,,
F517977,C2032,2024-12,P06,104116.59,2025-01-10,2025-01-10,Débito automático
F569502,C3389,2025-12,P02,41559.29,2026-01-10,2026-01-10,Mercado Pago
F519973,C4121,2024-12,P04,62852.26,2025-01-10,,
F519184,C3289,2024-12,P05,83112.3,2025-01-10,2025-01-10,Transferencia
F557953,C4579,2025-09,P02,40294.83,2025-10-10,,
F592155,C5660,2026-05,P06,147090.15,2026-06-10,,
F517775,C1822,2024-12,P02,33959.58,2025-01-10,2025-01-10,Débito automático
F510991,C3549,2024-10,P01,22162.45,2024-11-10,10/11/2024,Débito automático
F586895,C4199,2026-04,P02,46813.83,2026-05-10,,
F565638,C3783,2025-11,P03,54470.32,2025-12-10,2025-12-10,Transferencia
F589426,C2205,2026-05,P02,46739.55,2026-06-10,2026-06-10,Débito automático
F503252,C4252,2024-08,P03,41181.13,2024-09-10,2024-09-10,Débito automático
F537763,C5205,2025-04,P03,50442.48,2025-05-10,,
F502742,C3742,2024-08,P04,60111.9,2024-09-10,10/09/2024,Débito automático
F585637,C2644,2026-04,P02,46558.61,2026-05-10,,
F516308,C4680,2024-11,P02,30257.37,2024-12-10,12/12/2024,Transferencia
F598970,C3902,2026-07,P05,116383.23,2026-08-10,2026-08-10,Transferencia
F594616,C3549,2026-06,P01,34079.02,2026-07-10,2026-07-10,Transferencia
F572028,C1408,2026-01,P01,29770.0,2026-02-10,2026-02-12,Efectivo / Sucursal
F505954,C2723,2024-09,P04,58360.03,2024-10-10,10/10/2024,Mercado Pago
F533287,C4859,2025-03,P01,23816.86,2025-04-10,10/04/2025,Mercado Pago
F583480,C5112,2026-03,P03,60230.52,2026-04-10,2026-04-12,Mercado Pago
F521241,C1021,2025-01,P01,23324.95,2025-02-10,2025-02-10,Transferencia
F519571,C3691,2024-12,P04,65329.51,2025-01-10,2025-01-10,Tarjeta
F504403,C1161,2024-09,P02,31020.18,2024-10-10,2024-10-19,Tarjeta
F590682,C3767,2026-05,P01,33920.15,2026-06-10,2026-06-10,Tarjeta
F554462,C5365,2025-08,P03,53594.01,2025-09-10,10/09/2025,Mercado Pago
F600154,C5447,2026-07,P01,34327.37,2026-08-10,,
F572662,C2152,2026-01,P02,42109.06,2026-02-10,10/02/2026,Efectivo / Sucursal
F589028,C1706,2026-05,P03,65967.41,2026-06-10,2026-06-10,Débito automático
F576308,C1483,2026-02,P01,30840.67,2026-03-10,,
F552156,C2704,2025-08,P06,125590.33,2025-09-10,2025-09-10,Transferencia
F553294,C4016,2025-08,P03,55626.3,2025-09-10,2025-09-10,Transferencia
F569590,C3497,2025-12,P04,83255.96,2026-01-10,2026-01-10,Mercado Pago
F557113,C3594,2025-09,P03,53789.24,2025-10-10,,
F548662,C3482,2025-07,P03,49091.93,2025-08-10,2025-08-14,Transferencia
F548212,C2968,2025-07,P05,89010.57,2025-08-10,2025-08-10,Transferencia
F579351,C5160,2026-02,P03,60923.19,2026-03-10,2026-03-10,Débito automático
F506878,C3655,2024-09,P01,22495.03,2024-10-10,2024-10-10,Débito automático
F548998,C3867,2025-07,P03,50878.98,2025-08-10,2025-08-10,Transferencia
F547422,C2085,2025-07,P02,35380.01,2025-08-10,,
F577778,C3245,2026-02,P01,31161.98,2026-03-10,,
F550643,C1011,2025-08,P01,29094.89,2025-09-10,2025-09-10,Transferencia
F506479,C3251,2024-09,P03,42559.63,2024-10-10,2024-10-12,Efectivo / Sucursal
F560079,C2194,2025-10,P01,27887.09,2025-11-10,10/11/2025,Débito automático
F584689,C1490,2026-04,P02,44569.94,2026-05-10,2026-05-10,Mercado Pago
F578978,C4708,2026-02,P02,41863.8,2026-03-10,10/03/2026,Transferencia
F545989,C5160,2025-06,P03,48776.3,2025-07-10,2025-07-13,Transferencia
F508564,C1076,2024-10,P01,22381.0,2024-11-10,2024-11-10,Tarjeta
F558516,C5226,2025-09,P04,76286.07,2025-10-10,2025-10-10,Débito automático
F503243,C4243,2024-08,P02,30428.63,2024-09-10,2024-09-10,Débito automático
F508034,C4825,2024-09,P04,58358.81,2024-10-10,2024-10-16,Mercado Pago
F590571,C3621,2026-05,P02,45738.38,2026-06-10,2026-06-10,Transferencia
F572971,C2523,2026-01,P01,31123.28,2026-02-10,10/02/2026,Débito automático
F562046,C4472,2025-10,P02,37848.22,2025-11-10,2025-11-10,Débito automático
F566307,C4580,2025-11,P04,72863.69,2025-12-10,2025-12-10,Efectivo / Sucursal
F536996,C4367,2025-04,P02,36239.5,2025-05-10,2025-05-10,Débito automático
F586903,C4209,2026-04,P03,63755.25,2026-05-10,2026-05-10,Transferencia
F573752,C3437,2026-01,P01,31134.92,2026-02-10,2026-02-10,Efectivo / Sucursal
F538787,C1735,2025-05,P01,26028.56,2025-06-10,,
F542508,C1258,2025-06,P05,87446.1,2025-07-10,2025-07-10,Débito automático
F504917,C1679,2024-09,P02,29248.28,2024-10-10,2024-10-11,Débito automático
F567862,C1479,2025-12,P01,30019.39,2026-01-10,2026-01-10,Mercado Pago
F541554,C4825,2025-05,P04,68827.43,2025-06-10,2025-06-10,Transferencia
F507514,C4301,2024-09,P01,22442.92,2024-10-10,2024-10-10,Transferencia
F583926,C5666,2026-03,P02,42439.1,2026-04-10,2026-04-10,Débito automático
F572018,C1397,2026-01,P02,41499.05,2026-02-10,2026-02-16,Transferencia
F501854,C2854,2024-08,P02,30204.48,2024-09-10,,
F521273,C1056,2025-01,P01,23425.4,2025-02-10,2025-02-10,Mercado Pago
F557371,C3904,2025-09,P03,55326.5,2025-10-10,,
F597811,C2410,2026-07,P02,45498.29,2026-08-10,2026-08-10,Mercado Pago
F539409,C2425,2025-05,P03,48760.47,2025-06-10,2025-06-10,Efectivo / Sucursal
F545199,C4278,2025-06,P06,112164.96,2025-07-10,,
F548200,C2954,2025-07,P01,26122.45,2025-08-10,2025-08-10,Mercado Pago
F548619,C3431,2025-07,P06,115178.53,2025-08-10,2025-08-10,Débito automático
F594839,C3836,2026-06,P02,46766.45,2026-07-10,11/07/2026,Tarjeta
F587882,C5452,2026-04,P02,45651.35,2026-05-10,2026-05-10,Efectivo / Sucursal
F563848,C1697,2025-11,P02,38172.54,2025-12-10,2025-12-16,Mercado Pago
F528242,C3964,2025-02,P04,63197.2,2025-03-10,10/03/2025,Débito automático
F530682,C2046,2025-03,P01,23329.68,2025-04-10,2025-04-10,Transferencia
F562751,C5301,2025-10,P02,39349.03,2025-11-10,2025-11-10,Tarjeta
F593262,C1840,2026-06,P01,33385.52,2026-07-10,10/07/2026,Mercado Pago
F534848,C1996,2025-04,P01,26484.72,2025-05-10,,
F518653,C2738,2024-12,P02,33321.56,2025-01-10,2025-01-10,Transferencia
F556798,C3233,2025-09,P06,122830.81,2025-10-10,2025-10-10,Efectivo / Sucursal
F534441,C1550,2025-04,P05,89771.79,2025-05-10,2025-05-10,Débito automático
F598791,C3657,2026-07,P02,46309.49,2026-08-10,2026-08-10,Transferencia
F523357,C3241,2025-01,P05,82817.03,2025-02-10,2025-02-10,Mercado Pago
F506882,C3659,2024-09,P02,30010.24,2024-10-10,2024-10-10,Efectivo / Sucursal
F519091,C3192,2024-12,P02,33125.45,2025-01-10,2025-01-10,Mercado Pago
F577306,C2673,2026-02,P04,80524.6,2026-03-10,2026-03-10,Débito automático
F536782,C4133,2025-04,P03,48664.48,2025-05-10,2025-05-19,Débito automático
F584835,C1667,2026-04,P06,145107.18,2026-05-10,10/05/2026,Tarjeta
F600126,C5410,2026-07,P03,64698.2,2026-08-10,10/08/2026,Débito automático
F586921,C4230,2026-04,P03,64566.09,2026-05-10,2026-05-10,Efectivo / Sucursal
F595952,C5288,2026-06,P05,116354.78,2026-07-10,10/07/2026,Mercado Pago
F527059,C2688,2025-02,P01,24225.05,2025-03-10,2025-03-10,Débito automático
F574289,C4089,2026-01,P05,107074.97,2026-02-10,2026-02-10,Débito automático
F594564,C3489,2026-06,P02,47245.85,2026-07-10,,
F579431,C5260,2026-02,P05,106586.11,2026-03-10,2026-03-14,Mercado Pago
F557755,C4348,2025-09,P01,28639.15,2025-10-10,2025-10-20,Efectivo / Sucursal
F551792,C2303,2025-08,P02,38869.48,2025-09-10,2025-09-10,Transferencia
F585398,C2365,2026-04,P03,64330.98,2026-05-10,2026-05-10,Mercado Pago
F592310,C5838,2026-05,P03,65594.49,2026-06-10,,
F529183,C4958,2025-02,P02,33715.16,2025-03-10,2025-03-10,Transferencia
F589346,C2097,2026-05,P02,44822.21,2026-06-10,2026-06-10,Tarjeta
F506758,C3535,2024-09,P03,41840.12,2024-10-10,,
F542215,C5559,2025-05,P06,112301.24,2025-06-10,,
F545368,C4467,2025-06,P03,50674.2,2025-07-10,2025-07-10,Transferencia
F513310,C1587,2024-11,P02,30292.62,2024-12-10,,
F507295,C4080,2024-09,P05,73891.09,2024-10-10,2024-10-10,Mercado Pago
F549333,C4259,2025-07,P05,89458.73,2025-08-10,2025-08-10,Mercado Pago
F538278,C1182,2025-05,P05,91632.16,2025-06-10,2025-06-10,Mercado Pago
F524197,C4137,2025-01,P03,44736.86,2025-02-10,2025-02-10,Débito automático
F514702,C3027,2024-11,P01,22389.76,2024-12-10,,
F521666,C1466,2025-01,P01,23831.29,2025-02-10,10/02/2025,Efectivo / Sucursal
F586638,C3882,2026-04,P02,46363.43,2026-05-10,,
F575339,C5364,2026-01,P06,136326.19,2026-02-10,,
F573899,C3605,2026-01,P03,61227.86,2026-02-10,10/02/2026,Débito automático
F533839,C5452,2025-03,P02,33853.5,2025-04-10,2025-04-10,Transferencia
F515055,C3390,2024-11,P03,41333.68,2024-12-10,2024-12-10,Mercado Pago
F536606,C3939,2025-04,P02,33997.48,2025-05-10,2025-05-10,Mercado Pago
F518876,C2968,2024-12,P05,82204.17,2025-01-10,10/01/2025,Débito automático
F589120,C1817,2026-05,P02,45724.85,2026-06-10,10/06/2026,Mercado Pago
F569438,C3311,2025-12,P06,132993.42,2026-01-10,,
F596387,C5829,2026-06,P01,34055.02,2026-07-10,10/07/2026,Efectivo / Sucursal
F515778,C4139,2024-11,P03,41276.15,2024-12-10,2024-12-10,Mercado Pago
F599588,C4711,2026-07,P02,46098.04,2026-08-10,2026-08-14,Efectivo / Sucursal
F573305,C2909,2026-01,P01,30540.81,2026-02-10,2026-02-10,Mercado Pago
F520677,C4847,2024-12,P01,24664.85,2025-01-10,2025-01-15,Débito automático
F514237,C2547,2024-11,P01,22422.23,2024-12-10,2024-12-10,Débito automático
F546342,C5560,2025-06,P03,49655.26,2025-07-10,,
F581630,C2840,2026-03,P01,30963.96,2026-04-10,2026-04-10,Débito automático
F591571,C4904,2026-05,P05,114288.74,2026-06-10,2026-06-10,Mercado Pago
F508493,C1004,2024-10,P02,29902.35,2024-11-10,2024-11-10,Transferencia
F577452,C2849,2026-02,P04,81994.82,2026-03-10,2026-03-20,Débito automático
F590526,C3571,2026-05,P03,63645.22,2026-06-10,2026-06-10,Débito automático
F588104,C5721,2026-04,P02,46899.41,2026-05-10,,
F515348,C3692,2024-11,P03,41498.91,2024-12-10,2024-12-18,Tarjeta
F501994,C2994,2024-08,P03,40441.96,2024-09-10,2024-09-15,Mercado Pago
F502226,C3226,2024-08,P05,78423.61,2024-09-10,11/09/2024,Transferencia
F584463,C1220,2026-04,P01,33335.26,2026-05-10,2026-05-18,Débito automático
F535806,C3043,2025-04,P06,113151.99,2025-05-10,10/05/2025,Débito automático
F508857,C1374,2024-10,P02,30870.73,2024-11-10,2024-11-10,Mercado Pago
F537357,C4761,2025-04,P03,48182.69,2025-05-10,2025-05-10,Mercado Pago
F522002,C1816,2025-01,P01,24484.76,2025-02-10,10/02/2025,Efectivo / Sucursal
F599604,C4729,2026-07,P04,87609.42,2026-08-10,2026-08-14,Transferencia
F563608,C1424,2025-11,P02,40576.6,2025-12-10,2025-12-12,Transferencia
F562184,C4637,2025-10,P04,72807.03,2025-11-10,2025-11-10,Débito automático
F516452,C4827,2024-11,P02,29559.37,2024-12-10,2024-12-13,Efectivo / Sucursal
F546136,C5335,2025-06,P03,49494.11,2025-07-10,2025-07-18,Débito automático
F568955,C2747,2025-12,P06,137982.34,2026-01-10,2026-01-11,Débito automático
F551874,C2396,2025-08,P03,52987.84,2025-09-10,2025-09-10,Efectivo / Sucursal
F588112,C5729,2026-04,P02,47415.87,2026-05-10,2026-05-10,Tarjeta
F598388,C3133,2026-07,P01,34027.16,2026-08-10,2026-08-14,Transferencia
F574546,C4399,2026-01,P03,57191.22,2026-02-10,,
F518847,C2938,2024-12,P02,33273.76,2025-01-10,2025-01-10,Débito automático
F590281,C3262,2026-05,P06,147786.1,2026-06-10,2026-06-17,Efectivo / Sucursal
F570631,C4740,2025-12,P02,42292.48,2026-01-10,2026-01-10,Débito automático
F502418,C3418,2024-08,P06,94640.91,2024-09-10,,
F521909,C1718,2025-01,P03,47271.28,2025-02-10,2025-02-10,Débito automático
F556955,C3411,2025-09,P03,55868.24,2025-10-10,2025-10-10,Mercado Pago
F586057,C3161,2026-04,P02,46164.23,2026-05-10,2026-05-10,Transferencia
F532112,C3586,2025-03,P04,63691.17,2025-04-10,2025-04-10,Transferencia
F574586,C4449,2026-01,P06,132248.14,2026-02-10,2026-02-10,Efectivo / Sucursal
F564333,C2266,2025-11,P02,37875.99,2025-12-10,2025-12-10,Débito automático
F584330,C1062,2026-04,P01,34205.76,2026-05-10,10/05/2026,Débito automático
F575033,C4977,2026-01,P01,30846.85,2026-02-10,2026-02-18,Transferencia
F564156,C2056,2025-11,P03,55246.72,2025-12-10,,
F581135,C2251,2026-03,P05,108331.42,2026-04-10,2026-04-10,Efectivo / Sucursal
F544496,C3472,2025-06,P06,114450.09,2025-07-10,,
F546246,C5459,2025-06,P02,34273.32,2025-07-10,23/07/2025,Débito automático
F508530,C1041,2024-10,P04,60979.89,2024-11-10,2024-11-10,Débito automático
F581234,C2373,2026-03,P03,57132.01,2026-04-10,2026-04-11,Mercado Pago
F518553,C2633,2024-12,P03,45667.08,2025-01-10,,
F556929,C3383,2025-09,P04,78654.59,2025-10-10,2025-10-10,Tarjeta
F529569,C5367,2025-02,P03,46310.63,2025-03-10,,
F588964,C1629,2026-05,P04,87136.05,2026-06-10,2026-06-10,Mercado Pago
F581042,C2126,2026-03,P01,31153.96,2026-04-10,2026-04-10,Débito automático
F587294,C4717,2026-04,P02,43755.31,2026-05-10,10/05/2026,Débito automático
F553502,C4253,2025-08,P01,27454.39,2025-09-10,2025-09-10,Transferencia
F507324,C4110,2024-09,P03,42919.7,2024-10-10,2024-10-10,Débito automático
F573519,C3162,2026-01,P03,59078.33,2026-02-10,2026-02-10,Efectivo / Sucursal
F514544,C2861,2024-11,P03,42859.34,2024-12-10,2024-12-10,Débito automático
F522709,C2562,2025-01,P04,64041.22,2025-02-10,14/02/2025,Transferencia
F576075,C1212,2026-02,P05,105833.59,2026-03-10,2026-03-14,Mercado Pago
F512260,C4840,2024-10,P04,57007.01,2024-11-10,2024-11-13,Mercado Pago
F525622,C1163,2025-02,P02,32625.46,2025-03-10,,
F536486,C3795,2025-04,P01,25720.4,2025-05-10,2025-05-10,Débito automático
F565988,C4201,2025-11,P01,27898.31,2025-12-10,10/12/2025,Débito automático
F599628,C4760,2026-07,P06,145033.25,2026-08-10,10/08/2026,Tarjeta
F588134,C5752,2026-04,P01,35071.48,2026-05-10,2026-05-10,Mercado Pago
F512807,C1071,2024-11,P01,22021.11,2024-12-10,,
F531704,C3142,2025-03,P02,32955.59,2025-04-10,2025-04-10,Mercado Pago
F538264,C1166,2025-05,P02,36355.31,2025-06-10,,
F529620,C5419,2025-02,P03,45521.98,2025-03-10,2025-03-10,Débito automático
F587747,C5280,2026-04,P03,64364.66,2026-05-10,2026-05-10,Débito automático
F533397,C4978,2025-03,P02,32899.15,2025-04-10,2025-04-10,Mercado Pago
F593928,C2675,2026-06,P05,116652.23,2026-07-10,2026-07-10,Mercado Pago
F568855,C2629,2025-12,P02,41972.89,2026-01-10,2026-01-24,Débito automático
F512489,C5074,2024-10,P02,31182.37,2024-11-10,10/11/2024,Mercado Pago
F567936,C1559,2025-12,P01,30734.68,2026-01-10,2026-01-10,Débito automático
F533831,C5443,2025-03,P01,23948.56,2025-04-10,10/04/2025,Débito automático
F569356,C3216,2025-12,P02,43777.13,2026-01-10,2026-01-10,Transferencia
F586099,C3214,2026-04,P05,115748.25,2026-05-10,10/05/2026,Transferencia
F569004,C2804,2025-12,P03,59050.99,2026-01-10,,
F588451,C6090,2026-04,P03,64583.48,2026-05-10,2026-05-10,Mercado Pago
F553117,C3803,2025-08,P01,28727.06,2025-09-10,2025-09-10,Débito automático
F530020,C1332,2025-03,P05,80478.98,2025-04-10,,
F553952,C4773,2025-08,P01,28798.72,2025-09-10,2025-09-19,Tarjeta
F555232,C1455,2025-09,P02,38445.03,2025-10-10,2025-10-19,Débito automático
F546849,C1445,2025-07,P02,34965.09,2025-08-10,2025-08-10,Débito automático
F551610,C2091,2025-08,P06,121878.72,2025-09-10,2025-09-10,Transferencia
F600008,C5255,2026-07,P02,44826.49,2026-08-10,2026-08-10,Débito automático
F550631,C5709,2025-07,P01,26871.47,2025-08-10,2025-08-10,Débito automático
F525722,C1267,2025-02,P03,45117.14,2025-03-10,2025-03-10,Débito automático
F585237,C2153,2026-04,P03,64779.33,2026-05-10,2026-05-10,Débito automático
F569978,C3961,2025-12,P04,82017.82,2026-01-10,,
F518334,C2410,2024-12,P02,32559.94,2025-01-10,,
F576415,C1608,2026-02,P02,42819.76,2026-03-10,2026-03-23,Débito automático
F586331,C3504,2026-04,P02,46024.62,2026-05-10,,
F545123,C4188,2025-06,P01,25871.17,2025-07-10,12/07/2025,Débito automático
F577350,C2729,2026-02,P04,79340.95,2026-03-10,2026-03-10,Efectivo / Sucursal
F543625,C2501,2025-06,P02,35516.6,2025-07-10,2025-07-23,Mercado Pago
F503594,C4594,2024-08,P02,29395.9,2024-09-10,,
F542034,C5367,2025-05,P03,50668.55,2025-06-10,2025-06-10,Débito automático
F551341,C1785,2025-08,P01,27484.97,2025-09-10,2025-09-10,Transferencia
F514889,C3220,2024-11,P01,21861.07,2024-12-10,10/12/2024,Transferencia
F576965,C2276,2026-02,P02,42681.69,2026-03-10,24/03/2026,Mercado Pago
F568794,C2564,2025-12,P03,60323.88,2026-01-10,10/01/2026,Mercado Pago
F584156,C5915,2026-03,P01,30874.66,2026-04-10,2026-04-10,Débito automático
F531686,C3124,2025-03,P02,32818.49,2025-04-10,2025-04-10,Efectivo / Sucursal
F507996,C4787,2024-09,P03,42074.85,2024-10-10,12/10/2024,Transferencia
F528022,C3718,2025-02,P05,82021.29,2025-03-10,2025-03-10,Débito automático
F500479,C1479,2024-08,P01,22205.49,2024-09-10,2024-09-14,Efectivo / Sucursal
F598134,C2814,2026-07,P03,62500.18,2026-08-10,2026-08-10,Efectivo / Sucursal
F572262,C1678,2026-01,P01,30865.71,2026-02-10,10/02/2026,Débito automático
F520866,C5046,2024-12,P02,32855.05,2025-01-10,2025-01-10,Efectivo / Sucursal
F538689,C1627,2025-05,P01,26134.36,2025-06-10,10/06/2025,Débito automático
F536890,C4251,2025-04,P01,26200.4,2025-05-10,2025-05-10,Débito automático
F571662,C5924,2025-12,P02,42453.91,2026-01-10,2026-01-10,Transferencia
F578012,C3525,2026-02,P03,61710.79,2026-03-10,,
F557378,C3914,2025-09,P04,75469.64,2025-10-10,2025-10-10,Transferencia
F553083,C3762,2025-08,P02,38848.6,2025-09-10,2025-09-10,Débito automático
F539526,C2552,2025-05,P06,120162.1,2025-06-10,2025-06-10,Mercado Pago
F503369,C4369,2024-08,P03,39980.66,2024-09-10,10/09/2024,Débito automático
F538826,C1778,2025-05,P02,36322.62,2025-06-10,2025-06-10,Transferencia
F548467,C3260,2025-07,P04,67841.39,2025-08-10,2025-08-10,Efectivo / Sucursal
F582780,C4245,2026-03,P02,41348.3,2026-04-10,2026-04-18,Mercado Pago
F505680,C2448,2024-09,P06,95744.58,2024-10-10,2024-10-16,Tarjeta
F524176,C4115,2025-01,P01,25252.4,2025-02-10,2025-02-10,Efectivo / Sucursal
F552060,C2598,2025-08,P03,52611.3,2025-09-10,2025-09-10,Efectivo / Sucursal
F512322,C4902,2024-10,P06,94462.31,2024-11-10,14/11/2024,Mercado Pago
F528343,C4070,2025-02,P06,99831.76,2025-03-10,2025-03-14,Débito automático
F525731,C1276,2025-02,P05,81710.03,2025-03-10,10/03/2025,Efectivo / Sucursal
F545151,C4222,2025-06,P05,91392.11,2025-07-10,2025-07-10,Transferencia
F536494,C3804,2025-04,P04,71729.35,2025-05-10,2025-05-14,Débito automático
F581951,C3236,2026-03,P01,31301.72,2026-04-10,2026-04-14,Débito automático
F527795,C3476,2025-02,P01,23911.42,2025-03-10,10/03/2025,Tarjeta
F594599,C3529,2026-06,P02,44949.42,2026-07-10,2026-07-10,Débito automático
F506593,C3367,2024-09,P02,29719.89,2024-10-10,2024-10-10,Débito automático
F534428,C1537,2025-04,P06,112334.41,2025-05-10,2025-05-10,Débito automático
F529572,C5370,2025-02,P02,32634.54,2025-03-10,,
F515138,C3479,2024-11,P06,93589.25,2024-12-10,2024-12-25,Efectivo / Sucursal
F542004,C5334,2025-05,P03,50117.04,2025-06-10,2025-06-10,Efectivo / Sucursal
F554871,C1051,2025-09,P02,38758.51,2025-10-10,2025-10-11,Transferencia
F523674,C3577,2025-01,P02,31837.62,2025-02-10,,
F516317,C4689,2024-11,P02,30344.45,2024-12-10,2024-12-10,Débito automático
F546593,C1161,2025-07,P02,35045.19,2025-08-10,2025-08-15,Mercado Pago
F557977,C4608,2025-09,P06,123708.83,2025-10-10,2025-10-17,Transferencia
F538407,C1323,2025-05,P06,109572.49,2025-06-10,,
F598011,C2656,2026-07,P05,112789.0,2026-08-10,2026-08-10,Débito automático
F597898,C2521,2026-07,P04,85850.9,2026-08-10,2026-08-11,Efectivo / Sucursal
